p,p0,p/p0,cc,mmol/g,min,,
3.80422,760,0.005005552631579,0.32188,0.337315560026828,144.3,3,2
6.09748,760,0.008023,0.553535,0.580079434942991,242.6,3,2
7.58038,760,0.009974184210526,0.639252,0.6699069416499,266,3,2
15.1904,760,0.019987368421053,1.04854,1.09882209926224,323.6,3,2
29.5047,760,0.038821973684211,1.30529,1.36788438967136,331.6,3,2
45.9728,760,0.06049052631579,1.50942,1.58180331991952,338.5,3,2
63.2033,760,0.083162236842105,1.62948,1.70762072434608,343.2,3,2
79.5952,760,0.104730526315789,1.70622,1.7880407444668,346.6,3,2
98.4061,760,0.129481710526316,1.771,1.85592723004695,349.6,3,2
117.733,760,0.154911842105263,1.82432,1.91180415828303,352.4,3,2
137.009,760,0.180275,1.86924,1.95887826961771,355.4,3,2
156.052,760,0.205331578947368,1.90747,1.99894156606305,358.1,3,2
193.597,760,0.254732894736842,1.96556,2.05981723675386,360.7,3,2
231.77,760,0.304960526315789,2.01952,2.11636485580148,363.3,3,2
269.929,760,0.355169736842105,2.06954,2.16878353454058,366.1,3,2
308.007,760,0.405272368421053,2.11596,2.21742957746479,368.8,3,2
346.08,760,0.455368421052632,2.16065,2.26426265928907,371.4,3,2
384.078,760,0.505365789473684,2.20334,2.3089998323273,374,3,2
422.076,760,0.555363157894737,2.2462,2.35391515761234,376.8,3,2
460.158,760,0.605471052631579,2.28693,2.39659834004024,379.4,3,2
498.202,760,0.655528947368421,2.32738,2.4389880952381,382.1,3,2
536.109,760,0.705406578947368,2.36795,2.48150360496311,384.8,3,2
574.243,760,0.755582894736842,2.40577,2.52113724010731,387.5,3,2
612.261,760,0.805606578947368,2.44511,2.56236376592891,390.5,3,2
650.247,760,0.855588157894737,2.48381,2.60291960093897,393.5,3,2
688.166,760,0.905481578947368,2.524,2.64503688799463,396.6,3,2
726.049,760,0.955327631578947,2.56245,2.68533073440644,399.4,3,2
760.388,760,1.00051052631579,2.59969,2.72435655600268,402.2,3,2
751.501,760,0.988817105263158,2.59659,2.72110789738431,405.2,3,2
681.294,760,0.89643947368421,2.54533,2.66738975519785,409.3,3,2
605.705,760,0.796980263157895,2.48209,2.60111711938296,413.5,3,2
529.693,760,0.696964473684211,2.41508,2.53089369550637,417,3,2
453.829,760,0.597143421052632,2.34303,2.45538858148893,420.4,3,2
376.967,760,0.496009210526316,2.2683,2.37707494969819,424,3,2
301.28,760,0.396421052631579,2.19055,2.29559649564051,427.1,3,2
224.743,760,0.29571447368421,2.10112,2.2018779342723,432,3,2
148.983,760,0.196030263157895,2.00084,2.09678906773977,437.6,3,2
73.4299,760,0.096618289473684,1.86647,1.95597543594903,443.7,3,2
