pressure (bar),loading (mmol/g)
0.0050412,0.003633928571429
0.00805387,0.006205357142857
0.0100744,0.007919642857143
0.020241,0.016660714285714
0.0469979,0.041598214285714
0.067313,0.060370535714286
0.0871733,0.07878125
0.107369,0.097446428571429
0.131771,0.119455357142857
0.156844,0.141888392857143
0.181885,0.164138392857143
0.206806,0.185714285714286
0.256279,0.22878125
0.306246,0.272285714285714
0.356327,0.314379464285714
0.406318,0.355625
0.456366,0.395754464285714
0.50631,0.436227678571429
0.556401,0.47528125
0.60638,0.514116071428571
0.656435,0.551267857142857
0.706492,0.58828125
0.756464,0.624133928571429
0.806443,0.660191964285714
0.856539,0.695799107142857
0.906535,0.730183035714286
0.956572,0.762084821428571
1.00165,0.793084821428572
0.987777,0.78278125
0.892983,0.720214285714286
0.793092,0.651535714285714
0.693088,0.580080357142857
0.59314,0.507691964285714
0.493157,0.431964285714286
0.393146,0.352272321428571
0.293026,0.269714285714286
0.192959,0.1844375
0.0931783,0.094379464285714
