pressure (bar),loading (ccSTP/g)
0.00100055,171.2968
0.00200499,172.4822
0.00501835,175.4498
0.00751907,176.3715
0.010008,176.6364
0.0150527,177.0175
0.0200427,177.332
0.0251326,177.6033
0.0548737,178.7477
0.0804239,179.56
0.105177,180.2948
0.130182,181.0162
0.155171,181.7054
0.180275,182.3703
0.20514,183.0453
0.230245,183.6807
0.255205,184.3026
0.280236,184.9097
0.305147,185.5365
0.330301,186.1511
0.355284,186.7388
0.380343,187.3392
0.405222,187.9309
0.430144,188.5133
0.455165,189.116
0.480297,189.6877
0.50521,190.2612
0.530503,190.7759
0.555181,191.323
0.579957,191.8877
0.605189,192.4373
0.63032,192.998
0.65511,193.5463
0.680171,194.1033
0.705176,194.6178
0.730138,195.2143
0.754991,195.7944
0.780147,196.4168
0.805037,197.04
0.829726,197.7204
0.854858,198.4872
0.879674,199.3593
0.904255,200.4156
0.929056,201.9012
0.953316,204.1069
0.975999,207.8147
0.994274,221.0088
0.991025,218.9902
0.948276,207.2748
0.89887,203.9968
0.847295,202.0941
0.796059,200.8397
0.745824,199.7939
0.695717,198.8633
0.645661,197.9587
0.595789,197.0782
0.545359,196.2189
0.49566,195.266
0.449557,191.2252
0.396283,189.7744
0.345819,188.5969
0.295751,187.523
0.245469,186.5445
0.195723,185.5473
0.145569,184.4772
0.0957885,183.3522
0.0466163,182.0072
