pressure (bar),loading (mmol/g)
0.00500397,0.718696428571429
0.00800786,1.02750446428571
0.0100062,1.19335267857143
0.0200572,1.73859375
0.0428937,2.24052678571429
0.0616688,2.42688839285714
0.0836621,2.55642410714286
0.105366,2.64034821428571
0.130564,2.70863839285714
0.155859,2.76109821428571
0.181252,2.80245089285714
0.206501,2.83541517857143
0.255984,2.88866517857143
0.306369,2.93196428571429
0.356543,2.96904017857143
0.406648,3.00338392857143
0.456752,3.03491071428571
0.506787,3.06470535714286
0.556956,3.09286607142857
0.607064,3.11874107142857
0.657103,3.14457589285714
0.707132,3.170125
0.75701,3.19644196428571
0.807188,3.22039732142857
0.857167,3.24400446428571
0.907323,3.26670982142857
0.957267,3.29103125
1.00224,3.31357589285714
0.98764,3.31211160714286
0.892839,3.27858482142857
0.793133,3.24141964285714
0.693003,3.20108928571429
0.593125,3.15659375
0.493078,3.10824107142857
0.39315,3.05150892857143
0.293263,2.98365178571429
0.19378,2.88574107142857
0.0958893,2.68456696428571
