pressure (bar),loading (mmol/g)
0.00501555,0.021357142857143
0.00802585,0.034441964285714
0.00996799,0.042857142857143
0.0200181,0.085017857142857
0.0412163,0.172410714285714
0.0618207,0.254116071428571
0.082168,0.331370535714286
0.102519,0.405700892857143
0.126355,0.488433035714286
0.151255,0.571098214285714
0.176589,0.650950892857143
0.201967,0.726683035714286
0.247676,0.854397321428571
0.297774,0.982392857142857
0.348519,1.10084821428571
0.399324,1.20887946428571
0.450085,1.30826785714286
0.500642,1.39938839285714
0.55128,1.48414285714286
0.601775,1.56230357142857
0.652292,1.63495982142857
0.702625,1.70270089285714
0.752943,1.76591964285714
0.8033,1.825375
0.853593,1.88167857142857
0.903807,1.93467857142857
0.954109,1.98470982142857
0.999612,2.02817857142857
0.987854,2.01742857142857
0.895013,1.92928125
0.795931,1.82290178571429
0.696587,1.70258035714286
0.597321,1.56498660714286
0.498154,1.40575
0.399274,1.22073214285714
0.300395,1.00164285714286
0.201756,0.740035714285714
0.103822,0.425
