pressure (bar),loading (ccSTP/g)
0.000997192,118.6212
0.0019985,122.6164
0.00499872,134.643
0.0075068,137.6143
0.010002,138.8254
0.0150087,140.5566
0.0200093,142.6914
0.0249762,161.3902
0.0529948,173.4838
0.0746498,175.7794
0.101602,177.5402
0.127523,178.7508
0.153435,179.6958
0.179032,180.4718
0.204246,181.1301
0.229532,181.7269
0.254625,182.2683
0.279768,182.7715
0.304877,183.2218
0.329974,183.6476
0.355002,184.0606
0.379975,184.4456
0.405151,184.8051
0.43021,185.1609
0.455223,185.4922
0.480196,185.8173
0.505307,186.1129
0.530237,186.4156
0.555221,186.7025
0.580424,186.9841
0.605304,187.2705
0.630196,187.5476
0.65543,187.8033
0.680211,188.074
0.705164,188.3554
0.730157,188.6511
0.755204,188.9276
0.780152,189.2141
0.804951,189.5574
0.8301,189.8714
0.855009,190.2339
0.879734,190.6556
0.904455,191.1256
0.929338,191.6993
0.953212,192.5894
0.975312,194.4933
0.992602,200.7805
0.989018,200.04
0.946252,195.6569
0.897183,194.7483
0.846618,194.0279
0.796202,193.3828
0.746094,192.8479
0.695851,192.3238
0.645748,191.8364
0.595937,191.3258
0.545755,190.8171
0.496305,190.1246
0.451317,187.7472
0.396297,187.0713
0.346257,186.3766
0.296245,185.6559
0.246427,184.8581
0.196807,183.9419
0.147355,182.8177
0.098799,181.2884
0.0521961,178.6585
