pressure (bar),loading (mmol/g)
0.00500622,0.40253125
0.00800685,0.615598214285714
0.0099847,0.742544642857143
0.0199974,1.24868303571429
0.0367704,1.74921875
0.0561482,2.07382589285714
0.0813788,2.31688839285714
0.0993385,2.42967857142857
0.123955,2.54152678571429
0.150864,2.63087053571429
0.177539,2.69876785714286
0.203763,2.75252678571429
0.251914,2.82940625
0.303081,2.89202232142857
0.354099,2.94287946428571
0.404626,2.98630803571429
0.455168,3.02404910714286
0.505538,3.05762946428571
0.555781,3.08855803571429
0.606027,3.11689732142857
0.656035,3.14304910714286
0.70622,3.16838839285714
0.756473,3.19192857142857
0.806449,3.21476785714286
0.856484,3.23683482142857
0.906583,3.25796875
0.956682,3.27786160714286
1.00186,3.29699107142857
0.987367,3.29435714285714
0.902184,3.266375
0.793484,3.22645982142857
0.693323,3.18441964285714
0.593499,3.13666964285714
0.493641,3.07986160714286
0.394191,3.01065178571429
0.294916,2.91646428571429
0.197169,2.77555357142857
0.0958998,2.45011160714286
