pressure (bar),loading (mmol/g)
0.00501733,0.015633928571429
0.00801833,0.025209821428572
0.0100291,0.031598214285714
0.0200208,0.062196428571429
0.0425734,0.131379464285714
0.0633133,0.193183035714286
0.0836382,0.251736607142857
0.103904,0.308919642857143
0.1277,0.3731875
0.15271,0.438799107142857
0.17792,0.50109375
0.203075,0.562272321428572
0.249458,0.668392857142857
0.29946,0.774566964285714
0.34996,0.874915178571428
0.400402,0.969517857142857
0.451081,1.05496428571429
0.501457,1.13629910714286
0.551906,1.21249553571429
0.602198,1.28445089285714
0.65271,1.35133482142857
0.702967,1.41419642857143
0.75317,1.47497321428571
0.803449,1.53184821428571
0.853792,1.58348214285714
0.903896,1.63504910714286
0.954112,1.68509375
0.999822,1.72052232142857
0.987597,1.71227678571429
0.894401,1.62332142857143
0.795542,1.52677232142857
0.696367,1.41129464285714
0.59663,1.2801875
0.497249,1.13612053571429
0.398076,0.971450892857143
0.298763,0.779620535714286
0.199838,0.561526785714286
0.100575,0.307258928571429
