pressure (bar),loading (mmol/g)
0.00501432,0.269660714285714
0.00801359,0.417870535714286
0.0100028,0.511589285714286
0.0199917,0.913473214285714
0.0374812,1.40148660714286
0.0615326,1.81579464285714
0.0827038,2.04116964285714
0.0986193,2.16447321428571
0.122025,2.30079017857143
0.148817,2.41476785714286
0.175837,2.50380357142857
0.202613,2.57223660714286
0.250658,2.66583928571429
0.302064,2.74090625
0.353519,2.79942857142857
0.404387,2.84726785714286
0.454867,2.88823214285714
0.505331,2.92413839285714
0.555797,2.95549553571429
0.605887,2.98446428571429
0.656131,3.01048660714286
0.706362,3.03445089285714
0.756556,3.05720982142857
0.806604,3.07841964285714
0.856685,3.09801339285714
0.906842,3.11699553571429
0.956928,3.13569642857143
1.00147,3.15192857142857
0.987296,3.15054910714286
0.901834,3.12507142857143
0.79347,3.08841517857143
0.693284,3.04855357142857
0.593451,3.00163392857143
0.493784,2.94365625
0.394484,2.86952232142857
0.295715,2.76462946428571
0.198739,2.59635267857143
0.0995071,2.20812053571429
