p,P0,p/p0,Volume @ STP,cc/g,mmol/g,
21.5767,760,0.028390394736842,4.22777,25.0015966883501,1.11614270930134,14.6214694918476
37.2387,760,0.048998289473684,6.08539,35.9869308101715,1.60655941116837,21.0459282863057
52.6609,760,0.069290657894737,7.23046,42.7584861028977,1.9088609867365,25.0060789262482
60.6529,760,0.079806447368421,7.70481,45.5636309875813,2.03409066908845,26.6465877650587
76.1689,760,0.100222236842105,8.36104,49.4443524541691,2.20733716313255,28.9161168370364
114.151,760,0.150198684210526,9.32888,55.167829686576,2.46284953957929,32.2633289684886
150.693,760,0.198280263157895,9.8735,58.3885274985216,2.60663069189829,34.1468620638675
190.837,760,0.251101315789474,10.2823,60.806031933767,2.71455499704317,35.5606704612655
227.969,760,0.299959210526316,10.5566,62.428149024246,2.78697093858241,36.5093192954296
267.078,760,0.351418421052632,10.7831,63.7675931401538,2.84676755089972,37.2926549167863
305.764,760,0.402321052631579,10.9816,64.9414547604968,2.89917208752218,37.9791543465405
341.296,760,0.449073684210526,11.117,65.7421643997635,2.93491805356087,38.4474265016474
379.498,760,0.499339473684211,11.2441,66.4937906564163,2.96847279716144,38.8869936428149
417.867,760,0.549825,11.3568,67.1602602010645,2.99822590183323,39.2767593140154
456.118,760,0.600155263157895,11.4584,67.7610881135423,3.02504857649742,39.6281363521162
494.379,760,0.650498684210526,11.5503,68.304553518628,3.04931042493875,39.9459665666976
532.553,760,0.700727631578947,11.635,68.8054405677114,3.07167145391569,40.2388960462955
570.734,760,0.750965789473684,11.7144,69.2749852158486,3.09263326856467,40.5134958181972
608.828,760,0.80108947368421,11.7888,69.7149615612064,3.11227506969671,40.770803413027
646.88,760,0.851157894736842,11.8616,70.1454760496747,3.13149446650334,41.0225775111937
685.059,760,0.901393421052632,11.9296,70.5476049674749,3.1494466503337,41.2577511193715
723.126,760,0.951481578947368,11.993,70.9225310467179,3.16618442172848,41.4770159246431
757.524,760,0.996742105263158,12.0489,71.2531046717918,3.18094217284785,41.6703424643068
753.524,760,0.991478947368421,12.0611,71.3252513305736,3.18416300582918,41.7125353763623
720.179,760,0.947603947368421,12.0374,71.1850975753992,3.17790614175889,41.6305704570415
646.247,760,0.850325,11.9573,70.7114133648729,3.15675952521754,41.3535497803498
570.614,760,0.750807894736842,11.8616,70.1454760496747,3.13149446650334,41.0225775111937
494.592,760,0.650778947368421,11.7447,69.4541691306919,3.10063255047732,40.6182864112529
418.91,760,0.551197368421053,11.6011,68.604967474867,3.06272176227085,40.1216550857481
343.404,760,0.451847368421053,11.4163,67.5121230041396,3.0139340626848,39.4825362211709
264.861,760,0.348501315789474,11.1446,65.9053814311059,2.94220452817437,38.5428793190842
190.788,760,0.251036842105263,10.7405,63.5156712004731,2.83552103573541,37.1453255681338
114.216,760,0.150284210526316,9.90889,58.5978119455943,2.61597374757118,34.2692560931824
75.7756,760,0.099704736842105,9.00825,53.2717327025429,2.37820235279209,31.1544508215764
39.4684,760,0.051932105263158,7.19327,42.5385570668244,1.89904272619752,24.8774597131875
