"atom","sigma(A)","epsilon(K)"
"H",2.5711337005530193,22.141666812600377
"C",3.4308509635584463,52.83806853006909
"N",3.260689308393642,34.72215931975969
"O",3.1181455134911875,30.193182017182334
"F",2.996983287824101,25.160985014318612
"Cl",3.516377240499919,114.2308719650065
"Ca",3.0281647429590133,119.76628866815659
"Fe",2.5942970672246677,6.541856103722838
"Ni",2.5248069672097215,7.5482955042955835
"S",3.59478,137.89633
"Br",3.731974730289881,126.30814477187944
"Kr",3.689211591819145,110.7083340630019
"Xe",3.923517954690054,167.0689404950756
"Zn",2.46155,62.40564
