Temp./°C,Mass/%
 32.50500,100.00000
 35.00500, 99.48838
 37.50500, 99.46249
 40.00500, 99.35335
 42.50500, 99.59608
 45.00500, 99.44327
 47.50500, 99.47728
 50.00500, 99.51868
 52.50500, 99.29096
 55.00500, 99.26398
 57.50500, 99.21914
 60.00500, 99.18211
 62.50500, 99.53725
 65.00500, 99.05673
 67.50500, 99.14730
 70.00500, 99.08438
 72.50500, 99.04848
 75.00500, 99.04058
 77.50500, 99.00244
 80.00500, 98.89672
 82.50500, 99.11486
 85.00500, 99.00370
 87.50500, 98.91338
 90.00500, 98.95891
 92.50500, 98.86890
 95.00500, 98.69816
 97.50500, 98.76196
100.00500, 98.61758
102.50500, 98.53682
105.00500, 98.64489
107.50500, 98.34914
110.00500, 98.33100
112.50500, 98.16378
115.00500, 97.97995
117.50500, 97.60397
120.00500, 97.68367
122.50500, 97.06512
125.00500, 97.35213
127.50500, 97.29814
130.00500, 96.98827
132.50500, 96.66063
135.00500, 96.45368
137.50500, 96.22626
140.00500, 95.74541
142.50500, 95.48169
145.00500, 95.31467
147.50500, 95.16193
150.00500, 94.65547
152.50500, 94.16600
155.00500, 93.88707
157.50500, 93.42005
160.00500, 92.81812
162.50500, 92.24489
165.00500, 91.85389
167.50500, 91.24812
170.00500, 90.44512
172.50500, 89.88474
175.00500, 89.34589
177.50500, 88.61027
180.00500, 88.17892
182.50500, 87.26929
185.00500, 86.97502
187.50500, 86.61640
190.00500, 86.25878
192.50500, 85.66536
195.00500, 85.46793
197.50500, 85.33281
200.00500, 85.10883
202.50500, 84.92096
205.00500, 84.86049
207.50500, 84.66998
210.00500, 84.61684
212.50500, 84.65129
215.00500, 84.67493
217.50500, 84.52839
220.00500, 84.47979
