MinStep,CellMinStep,AtomMinStep,FinalStep,Energy,EDiff
1,243,243,243,1563.5970608500140315,48436.40293915
2,8035,8035,8035,1560.8186671372359342,2.77839371276991
3,12176,12176,12176,1560.6239986277055323,0.194668509529947
4,15922,15922,15922,1560.5849314707679696,0.0390671569400638
5,19959,19959,19959,1560.3853362745751383,0.199595196190103
6,23904,23904,23904,1560.0632138660253077,0.322122408549831
7,27612,27612,27612,1559.9279128724379007,0.135300993590135
8,31364,31364,31364,1559.7727709646078438,0.155141907830057
9,35241,35241,35241,1559.7176406174637577,0.0551303471499978
10,38900,38900,38900,1559.5334363796268917,0.184204237829817
11,42965,42965,42965,1559.3633467227693927,0.17008965686
12,47832,47832,47832,1555.8225706159078072,3.54077610685999
13,56862,56862,56862,1554.9778657824383572,0.844704833470132
14,60415,60415,60415,1554.479469499106699,0.498396283329839
15,64049,64049,64049,1554.0459333038597833,0.433536195250099
16,68034,68034,68034,1553.940609258436325,0.105324045420048
17,70969,70969,70969,1553.6804265584951281,0.26018269994006
18,73711,73711,73711,1553.487992108312028,0.192434450189921
19,76444,76444,76444,1553.2241150407592158,0.263877067550084
20,79457,79457,79457,1553.0514084202679896,0.172706620489862
21,83353,83353,83353,1552.9914240818773123,0.0599843383899952
22,87005,87005,87005,1552.850814848922937,0.14060923296006
23,93511,93511,93511,1550.2381851613165509,2.61262968760002
24,102487,102487,102487,1550.0915679565021037,0.146617204819904
25,105608,105608,105608,1549.9969387713322249,0.0946291851701062
26,107991,107991,107991,1549.9070732021934873,0.0898655691398744
27,110358,110358,110358,1549.8124876703757309,0.0945855318100257
28,112698,112698,112698,1549.6751652622529036,0.137322408130103
29,115341,115341,115341,1549.6273321137975927,0.047833148449854
30,117626,117626,117626,1549.5804281391453969,0.0469039746501494
31,119820,119820,119820,1549.5804281389816879,1.69848135556094e-10
