MinStep,CellMinStep,AtomMinStep,FinalStep,Energy,EDiff
1,230,230,230,1687.4263268209156195,48312.5736731791
2,8054,8054,8054,1676.8357961246226751,10.5905306963
3,18057,18057,18057,1676.5674721090554158,0.268324015559983
4,23672,23672,23672,1676.1575565453326817,0.40991556373001
5,30083,30083,30083,1675.9691560859585024,0.188400459369859
6,35769,35769,35769,1675.9159383482085559,0.0532177377501739
7,41229,41229,41229,1675.8378547244581114,0.0780836237499898
8,46767,46767,46767,1675.7947437995994733,0.0431109248600023
9,56769,56769,56769,1675.7746734601792014,0.0200703394198172
10,61943,61943,61943,1675.7368844185489252,0.0377890416300488
11,68459,68459,68459,1675.7368844183174588,2.30102159548551e-10
