MinStep,CellMinStep,AtomMinStep,FinalStep,Energy,EDiff
1,306,306,306,1738.1170960506385654,48261.8829039494
2,5854,5854,5854,1733.7142046656479124,4.40289138498997
3,10822,10822,10822,1732.9689177445034147,0.745286921149955
4,14234,14234,14234,1732.357385545602483,0.611532198900022
5,17437,17437,17437,1731.9594101128921011,0.397975432709927
6,20602,20602,20602,1731.5516827134506457,0.407727399440091
7,23596,23596,23596,1731.2930667398522928,0.258615973599944
8,26839,26839,26839,1730.8603786415594641,0.4326880982901
9,29907,29907,29907,1730.635089530858977,0.225289110700032
10,33042,33042,33042,1730.0728116070395117,0.56227792381992
11,36378,36378,36378,1730.0728116069326461,1.10048858914524e-10
