MinStep,CellMinStep,AtomMinStep,FinalStep,Energy,EDiff
1,479,479,479,1820.5809849966724414,48179.4190150033
2,7426,7426,7426,1819.2892685145261567,1.29171648213992
3,11057,11057,11057,1818.2494495665348495,1.03981894799995
4,14825,14825,14825,1814.6697523443160662,3.57969722221014
5,21805,21805,21805,1814.2626599851842002,0.407092359139824
6,27075,27075,27075,1813.796500633580763,0.466159351600027
7,32973,32973,32973,1813.5260681528366149,0.270432480740055
8,38727,38727,38727,1813.0896032334067058,0.436464919430136
9,46785,46785,46785,1812.8160318377185831,0.273571395689942
10,53441,53441,53441,1812.7047748128381954,0.111257024879933
11,59704,59704,59704,1812.5631068789846267,0.141667933859935
12,67090,67090,67090,1812.4013894606396207,0.161717418340004
13,75060,75060,75060,1812.4013894600871026,5.50016920897178e-10
