MinStep,CellMinStep,AtomMinStep,FinalStep,Energy,EDiff
1,364,364,364,1934.0854702342505789,48065.9145297658
2,6690,6690,6690,1918.6288324543265844,15.4566377799199
3,11506,11506,11506,1916.6639159962755912,1.96491645805008
4,15971,15971,15971,1915.7471300002023327,0.916785996079852
5,24601,24601,24601,1860.5324085938198095,55.21472140638
6,34619,34619,34619,1847.2673758728958546,13.2650327209201
7,36811,36811,36811,1840.6520099660604046,6.61536590684
8,39098,39098,39098,1840.2301527528441056,0.421857213219937
9,40740,40740,40740,1839.8495876985339237,0.380565054309955
10,42405,42405,42405,1839.5811191738100661,0.268468524719992
11,44136,44136,44136,1839.321333708480779,0.259785465329969
12,45860,45860,45860,1839.1141653190720717,0.207168389410072
13,47803,47803,47803,1838.7666222233299322,0.347543095740093
14,49730,49730,49730,1838.6049512920926645,0.161670931239996
15,52130,52130,52130,1838.4680304708342646,0.136920821259991
16,54549,54549,54549,1838.4756140029196558,0.00758353209016605
17,56198,56198,56198,1838.4050219950327119,0.0705920078901272
18,57927,57927,57927,1838.4050219949101574,1.20053300634027e-10
