MinStep,CellMinStep,AtomMinStep,FinalStep,Energy,EDiff
1,614,614,614,1865.4999170054804836,48134.5000829945
2,7966,7966,7966,1864.7713711445339868,0.728545860950135
3,14970,14970,14970,1863.3860276936484297,1.38534345087987
4,24972,24972,24972,1862.7333703335420978,0.65265736010997
5,27798,27798,27798,1862.303456156789025,0.429914176750117
6,30470,30470,30470,1862.1046690829475665,0.198787073839867
7,33139,33139,33139,1861.9261678995017064,0.17850118345018
8,35633,35633,35633,1861.6813392331291652,0.244828666369813
9,38605,38605,38605,1861.6093309626701284,0.0720082704601737
10,40895,40895,40895,1861.5568233103008424,0.0525076523699681
11,43164,43164,43164,1861.4956572539542776,0.0611660563499754
12,45318,45318,45318,1861.4678197369057671,0.0278375170398704
13,47432,47432,47432,1861.4678197367691155,1.40062184073031e-10
