MinStep,CellMinStep,AtomMinStep,FinalStep,Energy,EDiff
1,1044,1044,1044,1907.3907409949488283,48092.609259005
2,4682,4682,4682,1906.9459195471490602,0.444821447799995
3,7010,7010,7010,1906.2171463770735045,0.728773170079876
4,9298,9298,9298,1906.0867802893963017,0.130366087670154
5,10890,10890,10890,1906.0139347364597597,0.0728455529399525
6,12511,12511,12511,1905.9916044734982279,0.0223302629599402
7,13788,13788,13788,1905.9532580004263309,0.038346473070078
8,15785,15785,15785,1905.9563082176186981,0.00305021719009346
9,17524,17524,17524,1905.9123446747353228,0.0439635428799647
10,19034,19034,19034,1905.9123446745668389,1.70075509231538e-10
