MinStep,CellMinStep,AtomMinStep,FinalStep,Energy,EDiff,vol,lx,ly,lz,xy,xz,yz
1,0,0,0,2442.6084888275336198,47557.3915111725,1609.0818662290200791,12.505599999999999383,12.523400000000000531,10.27427899999999994,0,-0.22759399999999999076,0
2,192,192,192,2439.3627153557035854,3.24577347183003,1609.0818662290200791,12.505599999999999383,12.523400000000000531,10.27427899999999994,0,-0.22759399999999999076,0
3,220,220,220,2439.2951964785529526,0.0675188771497233,1609.0818662290200791,12.505599999999999383,12.523400000000000531,10.27427899999999994,0,-0.22759399999999999076,0
4,224,224,224,2439.2790076489536659,0.0161888296001962,1609.0818662290200791,12.505599999999999383,12.523400000000000531,10.27427899999999994,0,-0.22759399999999999076,0
5,226,226,226,2439.2708118374639525,0.00819581149016813,1609.0818662290200791,12.505599999999999383,12.523400000000000531,10.27427899999999994,0,-0.22759399999999999076,0
6,228,228,228,2439.2647377254475032,0.0060741120100829,1609.0818662290200791,12.505599999999999383,12.523400000000000531,10.27427899999999994,0,-0.22759399999999999076,0
7,230,230,230,2420.2683806194968383,18.9963571059498,1609.0818662290200791,12.505599999999999383,12.523400000000000531,10.27427899999999994,0,-0.22759399999999999076,0
8,328,328,328,2418.9087526042685568,1.3596280152301,1609.0818662290200791,12.505599999999999383,12.523400000000000531,10.27427899999999994,0,-0.22759399999999999076,0
9,350,350,350,2418.8568340376168635,0.0519185666498743,1609.0818662290200791,12.505599999999999383,12.523400000000000531,10.27427899999999994,0,-0.22759399999999999076,0
10,355,355,355,2418.8423433350239975,0.014490702600142,1609.0818662290200791,12.505599999999999383,12.523400000000000531,10.27427899999999994,0,-0.22759399999999999076,0
11,358,358,358,2418.8423433350235427,0,1609.0818662290200791,12.505599999999999383,12.523400000000000531,10.27427899999999994,0,-0.22759399999999999076,0
