MinStep,CellMinStep,AtomMinStep,FinalStep,Energy,EDiff
1,565,565,565,1791.0876833050856476,48208.9123166949
2,10568,10568,10568,1790.4192194759032191,0.668463829189932
3,17003,17003,17003,1732.1126755974842126,58.3065438784201
4,27005,27005,27005,1728.0940497702304128,4.01862582724993
5,33272,33272,33272,1727.4287785334124692,0.66527123681999
6,36867,36867,36867,1727.2879797351372417,0.140798798269998
7,39587,39587,39587,1727.1084841738645537,0.179495561279964
8,43293,43293,43293,1727.0510322314769383,0.0574519423801121
9,45500,45500,45500,1727.0097756525001387,0.0412565789799828
10,47860,47860,47860,1726.9621186811125426,0.0476569713898698
11,49525,49525,49525,1726.962118681054335,6.00266503170133e-11
