pressure (bar),fugacity (bar),⟨N⟩ (mmol/g)
0.01,0.01,0.03971943543427424
0.013989872717785885,0.013989872717785887,0.05600101483246753
0.019571653865984973,0.019571653865984973,0.0777265147496434
0.02738049464616918,0.027380494646169175,0.1076354848788625
0.03830496350499245,0.03830496350499245,0.15100600250831114
0.05358815638942778,0.05358815638942778,0.20864604441337503
0.07496914870688991,0.07496914870688991,0.283125098526891
0.10488088481701517,0.10488088481701517,0.38665981366510577
0.1467270229118804,0.1467270229118804,0.5287473967717216
0.20526923747968592,0.2052692374796859,0.6991231199868808
0.28716905052177694,0.28716905052177694,0.916542813298575
0.40174584652870826,0.40174584652870826,1.175051749290381
0.562037325783577,0.562037325783577,1.4735192498334715
0.7862830650357,0.7862830650357,1.8172913235982682
1.1,1.1,2.1638989321685784
