MinStep,CellMinStep,AtomMinStep,FinalStep,Energy,EDiff
1,261,261,261,1546.8769795680555035,48453.1230204319
2,10264,10264,10264,1522.4172784135753318,24.4597011544799
3,20270,20270,20270,1520.7208257456441061,1.69645266794009
4,23396,23396,23396,1520.2908818861483269,0.429943859490095
5,26010,26010,26010,1520.0578164444239064,0.233065441729877
6,28167,28167,28167,1519.2929860330648353,0.764830411359981
7,30637,30637,30637,1519.1669540943569245,0.126031938699953
8,32221,32221,32221,1518.5783270223898853,0.588627071969995
9,34179,34179,34179,1517.8389732217119672,0.739353800680192
10,36580,36580,36580,1517.7020272011393445,0.136946020569894
11,38309,38309,38309,1517.7020272010242934,1.20053300634027e-10
